Mentee ID,Mentee Firstname,Mentee Lastname,Mentee Email,Mentee Program,Mentee Interests,Mentee Country,Mentee City,Mentee Residence
852367,Evelyn,Martinez,emartine@ualberta.ca,Psychology,"I am dedicated to the field of industrial-organizational psychology, where I apply psychological principles to workplace issues. My goal is to improve employee well-being, enhance productivity, and optimize organizational structures.",United Kingdom,London,TRUE
435789,Isabella,Scott,iscot@ualberta.ca,Engineering,"I have a strong interest in AI and robotics, focusing on creating innovative solutions. In my free time, I experiment with new technologies and improve my coding skills.",United States,San Francisco,FALSE
413923,Charlotte,Lewis,clewi@ualberta.ca,Computer Science,"As a computer science enthusiast, I love exploring the latest technological advancements. I enjoy coding and developing software that can make a difference.",Canada,Edmonton,TRUE
219837,Sophia,Scott,sscot@ualberta.ca,Engineering,My passion lies in robotics and AI. I enjoy building projects that solve real-world issues and spend my leisure time exploring new technological trends.,United States,San Francisco,FALSE
573923,Abigail,Lopez,alope@ualberta.ca,Chemistry,"I am dedicated to physical fitness and regularly hit the gym. I find joy in various sports activities, from basketball to swimming, and value the discipline they instill.",Canada,Edmonton,TRUE
789234,Logan,Monaghan,lmonagha@ualberta.ca,Computer Science,I enjoy coding and building software applications. I like to stay updated with the latest technology trends and experiment with new programming languages.,United States,San Francisco,FALSE
189554,Ava,Young,ayoun@ualberta.ca,Chemistry,"I am fascinated by computational chemistry, using computer simulations to study chemical systems. My goal is to model molecular structures and predict the behavior of chemical reactions, aiding in the design of new compounds.",Canada,Edmonton,TRUE
837678,Emma,Hall,ehal@ualberta.ca,Computer Science,"I have a passion for programming and enjoy working on challenging coding projects. In my free time, I love exploring the latest trends in technology and attending hackathons to enhance my skills.",United States,San Francisco,FALSE
456239,James,Lewis,jlewi@ualberta.ca,Biology,"My focus is on population genetics, studying how genetic variation within and between populations affects evolution. I aim to investigate the genetic diversity of species and its implications for conservation biology and ecological studies.",Australia,Sydney,TRUE
214578,Ava,Thompson,athompso@ualberta.ca,Computer Science,Programming and technology are my primary interests. I enjoy developing new applications and staying updated with the latest tech advancements.,USA,San Francisco,FALSE
879652,James,Walker,jwalke@ualberta.ca,Engineering,I enjoy solving complex engineering problems and designing innovative solutions. I'm always looking for new challenges to test my skills and expand my knowledge.,Australia,Sydney,TRUE
431300,Evelyn,White,ewhit@ualberta.ca,Biology,"Staying active is essential for me. I balance my academic pursuits with regular workouts, focusing on endurance and strength training.",Canada,Edmonton,TRUE
555225,Sophia,Robinson,srobinso@ualberta.ca,Pharmacology,"I am interested in clinical pharmacology, where I apply pharmacological principles to patient care. My work focuses on conducting clinical trials to evaluate the safety and efficacy of new drugs and improving therapeutic outcomes.",Canada,Edmonton,TRUE
471255,Emma,Clark,eclar@ualberta.ca,Kinesiology,"Kinesiology's role in adaptive sports and physical activities for individuals with disabilities fascinates me. I am committed to researching and developing inclusive exercise programs that cater to the unique needs and abilities of all individuals, promoting fitness and well-being.",Canada,Edmonton,TRUE
293135,Lucas,Scott,lscot@ualberta.ca,Neuroscience,"I am passionate about cognitive neuroscience, particularly in understanding how brain functions relate to mental processes. My research focuses on exploring the neural mechanisms underlying memory, attention, and decision-making.",Canada,Edmonton,TRUE
436827,Ethan,Lopez,elope@ualberta.ca,Engineering,"My interest is in industrial engineering, where I focus on optimizing complex systems and processes. I am dedicated to improving efficiency, productivity, and quality in manufacturing, logistics, and supply chain management through the application of engineering principles and data analysis.",United States,San Francisco,FALSE
