Mentee ID,Mentee Firstname,Mentee Lastname,Mentee Email,Mentee Program,Mentee Interests,Mentee Hobbies,Mentee Requests,Mentee Country,Mentee City,Mentee Residence
852367,Evelyn,Martinez,emartine@ualberta.ca,Psychology,"I am dedicated to the field of industrial-organizational psychology, where I apply psychological principles to workplace issues. My goal is to improve employee well-being, enhance productivity, and optimize organizational structures.","Cooking or baking, Gaming, Outdoor activities, Travel, Writing or blogging",I'm worried about balancing my part-time job with my studies. I need tips on managing my time effectively so I don't fall behind in my coursework.,United Kingdom,London,TRUE
435789,Isabella,Scott,iscot@ualberta.ca,Engineering,"I have a strong interest in AI and robotics, focusing on creating innovative solutions. In my free time, I experiment with new technologies and improve my coding skills.","Cooking or baking, Gaming, Travel","I find it hard to manage my finances and stick to a budget. I need advice on budgeting, saving money, and making the most of my limited funds.",United States,San Francisco,FALSE
413923,Charlotte,Lewis,clewi@ualberta.ca,Computer Science,"As a computer science enthusiast, I love exploring the latest technological advancements. I enjoy coding and developing software that can make a difference.","Artistic and/or graphic design, Social causes, Theater, Writing or blogging","I'm struggling to learn programming and keep up with my computer science coursework. On top of that, I find it really hard to meet new people and make friends in my classes. I need tips on improving my coding skills and ways to overcome social anxiety to build connections with my peers.",Canada,Edmonton,TRUE
219837,Sophia,Scott,sscot@ualberta.ca,Engineering,My passion lies in robotics and AI. I enjoy building projects that solve real-world issues and spend my leisure time exploring new technological trends.,"Exercising, Foreign languages, Outdoor activities",I'm having difficulty adjusting to the pace of university lectures. I need strategies for taking effective notes and keeping up with the material.,United States,San Francisco,FALSE
573923,Abigail,Lopez,alope@ualberta.ca,Chemistry,"I am dedicated to physical fitness and regularly hit the gym. I find joy in various sports activities, from basketball to swimming, and value the discipline they instill.","Community service, History, Making or listening to music","Exam season makes me extremely anxious, and I find it hard to concentrate. I need techniques to manage my anxiety and perform better in exams.",Canada,Edmonton,TRUE
789234,Logan,Monaghan,lmonagha@ualberta.ca,Computer Science,I enjoy coding and building software applications. I like to stay updated with the latest technology trends and experiment with new programming languages.,"Gaming, Team or individual sports, Topical blogs or research",I often feel isolated and have trouble making friends. I want to find ways to connect with others and build a support network.,United States,San Francisco,FALSE
189554,Ava,Young,ayoun@ualberta.ca,Chemistry,"I am fascinated by computational chemistry, using computer simulations to study chemical systems. My goal is to model molecular structures and predict the behavior of chemical reactions, aiding in the design of new compounds.","Cooking or baking, History, Gaming, Theater",I feel overwhelmed by the amount of reading required for my courses. I need tips on how to read more efficiently and retain the information.,Canada,Edmonton,TRUE
837678,Emma,Hall,ehal@ualberta.ca,Computer Science,"I have a passion for programming and enjoy working on challenging coding projects. In my free time, I love exploring the latest trends in technology and attending hackathons to enhance my skills.","Team or individual sports, Community service, Writing or blogging, Travel",I'm naturally shy and find it hard to meet new people. University can feel really lonely sometimes. I want to learn how to overcome my social anxiety and make meaningful connections with other students.,United States,San Francisco,FALSE
456239,James,Lewis,jlewi@ualberta.ca,Biology,"My focus is on population genetics, studying how genetic variation within and between populations affects evolution. I aim to investigate the genetic diversity of species and its implications for conservation biology and ecological studies.","Gaming, History, Artistic and/or graphic design, Outdoor activities","Biology has always been my favorite subject, but the university-level courses are much harder than I expected. I'm having trouble keeping up with the readings and lab work. I need a study guide to help me manage the workload and understand the material better.",Australia,Sydney,TRUE
214578,Ava,Thompson,athompso@ualberta.ca,Computer Science,Programming and technology are my primary interests. I enjoy developing new applications and staying updated with the latest tech advancements.,"Foreign languages, Social causes, Cooking or baking, Gaming","I feel completely lost on campus. There are so many services and supports available, but I have no idea how to access them. I need help understanding how to navigate the university system and find the resources I need.",USA,San Francisco,FALSE
